1    851417  0.5918951517595206  0  7.160348852196079e-06
38  aaaaasaq  0  3.475939546459408e-07  1  2.1481046556588235e-05
39  aaaaavqaaaaebaaaadwbbagqabwbiagua  0  3.475939546459408e-07  1  2.1481046556588235e-05
40  aaaabaaaaaaaaaaaaaaaaaaaaaaaaaaeaaaaaaaaaaaaaag  0  3.475939546459408e-07  1  2.1481046556588235e-05
41  aaaabrfbfaaaaaaa  1  1.0427818639378223e-06  0  7.160348852196079e-06
42  aaaaeagwabwbnag  0  3.475939546459408e-07  1  2.1481046556588235e-05
43  aaaayvbdwqylzk  0  3.475939546459408e-07  1  2.1481046556588235e-05
44  aaabagmeequsitetfdjbuxgbofbcyzgx  0  3.475939546459408e-07  1  2.1481046556588235e-05
45  aaabagmqetesiuh  0  3.475939546459408e-07  1  2.1481046556588235e-05
46  aaabaqaaaa  0  3.475939546459408e-07  1  2.1481046556588235e-05
47  aaabbqebaqebaqaaaaaaaaadaaecbaug  0  3.475939546459408e-07  1  2.1481046556588235e-05
48  aaacl  0  3.475939546459408e-07  1  2.1481046556588235e-05
49  aaadesin  0  3.475939546459408e-07  1  2.1481046556588235e-05
50  aaadgib  0  3.475939546459408e-07  1  2.1481046556588235e-05
51  aaadkfhzwiaaaaaaaabimqaa  0  3.475939546459408e-07  1  2.1481046556588235e-05
52  aaaeaaaahjhcsu  0  3.475939546459408e-07  1  2.1481046556588235e-05
53  aaaeaaqaaaaaaaaaaaaaaaeaiabkbkaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa  0  3.475939546459408e-07  1  2.1481046556588235e-05
54  aaaeeawebaaaaaaaaaaaaaaafbgciagmeaqkbaqaabweaaaaaaaaaaaaaaaab  0  3.475939546459408e-07  1  2.1481046556588235e-05
55  aaaef  0  3.475939546459408e-07  1  2.1481046556588235e-05
56  aaaefaqebaqebaaaaaaaaaamaaqiebqyh  0  3.475939546459408e-07  1  2.1481046556588235e-05
57  aaaefaqebaqebaaaaaaaaaamaaqiebqyhcakkcweaaqubaqebaqeaaaaaaaaa  0  3.475939546459408e-07  1  2.1481046556588235e-05
58  aaagb  0  3.475939546459408e-07  1  2.1481046556588235e-05
59  aaagbaqabbql  0  3.475939546459408e-07  1  2.1481046556588235e-05
60  aaagbaqabbqluohbyw  0  3.475939546459408e-07  1  2.1481046556588235e-05
61  aaagbaqabpxcjnohvaok  0  3.475939546459408e-07  1  2.1481046556588235e-05
62  aaagbaqabpxcoueai  1  1.0427818639378223e-06  0  7.160348852196079e-06
63  aaagbaqabpxdzeif  0  3.475939546459408e-07  1  2.1481046556588235e-05
64  aaagbaqagpwklo  0  3.475939546459408e-07  1  2.1481046556588235e-05
65  aaagbaqagpwl  1  1.0427818639378223e-06  0  7.160348852196079e-06
66  aaagbaqagpwlituixv  0  3.475939546459408e-07  1  2.1481046556588235e-05
67  aaagbawebpwfoln  0  3.475939546459408e-07  1  2.1481046556588235e-05
68  aaagbawebpwh  1  1.0427818639378223e-06  0  7.160348852196079e-06
69  aaah  0  3.475939546459408e-07  1  2.1481046556588235e-05
70  aaahoejjtqqmfu  0  3.475939546459408e-07  1  2.1481046556588235e-05
71  aaai  0  3.475939546459408e-07  1  2.1481046556588235e-05
72  aaakdgvjaaaabdaaaaamclrsqwaabdwaaagmz  0  3.475939546459408e-07  1  2.1481046556588235e-05
73  aaakoojskracdh  0  3.475939546459408e-07  1  2.1481046556588235e-05
74  aaamsexpbm  0  3.475939546459408e-07  1  2.1481046556588235e-05
75  aaaoejjtqqac  0  3.475939546459408e-07  1  2.1481046556588235e-05
76  aaaqaegaqgacaaiasabcaaiaajhcsu  0  3.475939546459408e-07  1  2.1481046556588235e-05
77  aaaqagp  0  3.475939546459408e-07  1  2.1481046556588235e-05
78  aaar  2  1.737969773229704e-06  0  7.160348852196079e-06
79  aaasgaqwcmeevz  0  3.475939546459408e-07  1  2.1481046556588235e-05
80  aaasjaaaavm  0  3.475939546459408e-07  1  2.1481046556588235e-05
81  aaaticketsource  0  3.475939546459408e-07  1  2.1481046556588235e-05
82  aaatrading  0  3.475939546459408e-07  1  2.1481046556588235e-05
83  aaawdaqacaamaaaaqtkb  0  3.475939546459408e-07  1  2.1481046556588235e-05
84  aaawdaqaceamqaaab  1  1.0427818639378223e-06  0  7.160348852196079e-06
85  aaawdaqaceqmrad  0  3.475939546459408e-07  1  2.1481046556588235e-05
86  aaaxgu  0  3.475939546459408e-07  1  2.1481046556588235e-05
87  aaayk  0  3.475939546459408e-07  1  2.1481046556588235e-05
88  aab  0  3.475939546459408e-07  1  2.1481046556588235e-05
89  aabbc  1  1.0427818639378223e-06  0  7.160348852196079e-06
90  aabbcc  0  3.475939546459408e-07  1  2.1481046556588235e-05
91  aabbgabjwbbhqapgfmr  0  3.475939546459408e-07  1  2.1481046556588235e-05
92  aabdb  0  3.475939546459408e-07  1  2.1481046556588235e-05
93  aabec  0  3.475939546459408e-07  1  2.1481046556588235e-05
94  aabecaabvkai  0  3.475939546459408e-07  1  2.1481046556588235e-05
95  aabeiagkanqmbigaceqedeqh  0  3.475939546459408e-07  1  2.1481046556588235e-05
96  aabeiah  0  3.475939546459408e-07  1  2.1481046556588235e-05
97  aabeiahsarwmbeqaceqedeqh  0  3.475939546459408e-07  1  2.1481046556588235e-05
98  aabl  0  3.475939546459408e-07  1  2.1481046556588235e-05
99  aabo  0  3.475939546459408e-07  1  2.1481046556588235e-05
100  aabq  0  3.475939546459408e-07  1  2.1481046556588235e-05
101  aabr  6  4.5187214103972305e-06  0  7.160348852196079e-06
102  aabvahqabwbzaggabwbwacaangauadaaaaabadhcsu  0  3.475939546459408e-07  1  2.1481046556588235e-05
103  aac  3  2.4331576825215854e-06  0  7.160348852196079e-06
104  aaca  1  1.0427818639378223e-06  0  7.160348852196079e-06
105  aaccxbaydceovm  0  3.475939546459408e-07  1  2.1481046556588235e-05
106  aacfbggcawqb  0  3.475939546459408e-07  1  2.1481046556588235e-05
107  aachen  0  3.475939546459408e-07  1  2.1481046556588235e-05
108  aacsb  0  3.475939546459408e-07  1  2.1481046556588235e-05
109  aactja  1  1.0427818639378223e-06  0  7.160348852196079e-06
110  aacute  0  3.475939546459408e-07  1  2.1481046556588235e-05
111  aad  1  1.0427818639378223e-06  0  7.160348852196079e-06
112  aadcpvf  0  3.475939546459408e-07  1  2.1481046556588235e-05
113  aadfd  0  3.475939546459408e-07  1  2.1481046556588235e-05
114  aadw  0  3.475939546459408e-07  1  2.1481046556588235e-05
115  aae  2  1.737969773229704e-06  0  7.160348852196079e-06
116  aaeaahehmqmsusiyqweeebnacygricmwqlkhssrzwdezq  1  1.0427818639378223e-06  0  7.160348852196079e-06
117  aaeaawmdaaaaax  0  3.475939546459408e-07  1  2.1481046556588235e-05
118  aaeagaaaaaecawicraeaow  0  3.475939546459408e-07  1  2.1481046556588235e-05
119  aaec  1  1.0427818639378223e-06  0  7.160348852196079e-06
120  aaeepgsuyaaqibaegasaaa  0  3.475939546459408e-07  1  2.1481046556588235e-05
121  aaejheiwomgdcbmqxmhqaaab  0  3.475939546459408e-07  1  2.1481046556588235e-05
122  aaejheiwomgdcbmqxmhqaaabecnkhaiaocwlgdnq  0  3.475939546459408e-07  1  2.1481046556588235e-05
123  aaeqgadqbwaweiaairaqmraf  0  3.475939546459408e-07  1  2.1481046556588235e-05
124  aaeqgagwhfawer  0  3.475939546459408e-07  1  2.1481046556588235e-05
125  aaeqgarqjmaweiaairaqmraf  0  3.475939546459408e-07  1  2.1481046556588235e-05
126  aaeqgavgbiaweiaairaqmr  0  3.475939546459408e-07  1  2.1481046556588235e-05
127  aaeqgavgbiaweiaairaqmraf  0  3.475939546459408e-07  1  2.1481046556588235e-05
128  aaewsavcoaeqkf  0  3.475939546459408e-07  1  2.1481046556588235e-05
129  aaf  5  3.823533501105349e-06  0  7.160348852196079e-06
130  aafid  0  3.475939546459408e-07  1  2.1481046556588235e-05
131  aafjkjomahtkyaomymbtfbywhntyw  1  1.0427818639378223e-06  0  7.160348852196079e-06
132  aag  0  3.475939546459408e-07  1  2.1481046556588235e-05
133  aagajaayamqaaywnzce  0  3.475939546459408e-07  1  2.1481046556588235e-05
134  aagbawebpxbt  0  3.475939546459408e-07  1  2.1481046556588235e-05
135  aagjq  0  3.475939546459408e-07  1  2.1481046556588235e-05
136  aagt  0  3.475939546459408e-07  1  2.1481046556588235e-05
137  aagtvrzrm  1  1.0427818639378223e-06  0  7.160348852196079e-06
138  aahci  0  3.475939546459408e-07  1  2.1481046556588235e-05
139  aahigczcav  0  3.475939546459408e-07  1  2.1481046556588235e-05
140  aahp  0  3.475939546459408e-07  1  2.1481046556588235e-05
141  aahv  0  3.475939546459408e-07  1  2.1481046556588235e-05
142  aaiaw  0  3.475939546459408e-07  1  2.1481046556588235e-05
143  aaicaqmfaqeaaaaaaaaaaqaritfbuwghehgbkbhb  0  3.475939546459408e-07  1  2.1481046556588235e-05
144  aaicwbwbcbuiwqytmahtmaavwaoasnrjx  0  3.475939546459408e-07  1  2.1481046556588235e-05
145  aaid  0  3.475939546459408e-07  1  2.1481046556588235e-05
146  aaidaaaaaaaaaaaaaaabahesaxatich  0  3.475939546459408e-07  1  2.1481046556588235e-05
147  aaiqkioax  1  1.0427818639378223e-06  0  7.160348852196079e-06
148  aairaqmraf  0  3.475939546459408e-07  1  2.1481046556588235e-05
149  aairaxeapwdf  0  3.475939546459408e-07  1  2.1481046556588235e-05
150  aais  0  3.475939546459408e-07  1  2.1481046556588235e-05
151  aaiwiayrmiln  0  3.475939546459408e-07  1  2.1481046556588235e-05
152  aaj  0  3.475939546459408e-07  1  2.1481046556588235e-05
153  aajfk  1  1.0427818639378223e-06  0  7.160348852196079e-06
154  aajjr  0  3.475939546459408e-07  1  2.1481046556588235e-05
155  aajmht  1  1.0427818639378223e-06  0  7.160348852196079e-06
156  aak  0  3.475939546459408e-07  1  2.1481046556588235e-05
157  aaka  1  1.0427818639378223e-06  0  7.160348852196079e-06
158  aakbwhohedixwsmabatdaae  0  3.475939546459408e-07  1  2.1481046556588235e-05
159  aaklk  0  3.475939546459408e-07  1  2.1481046556588235e-05
160  aakz  1  1.0427818639378223e-06  0  7.160348852196079e-06
161  aal  0  3.475939546459408e-07  1  2.1481046556588235e-05
162  aalgigoahlghhimtazjtiwvhhpeykjtacytyi  0  3.475939546459408e-07  1  2.1481046556588235e-05
163  aaliyah  0  3.475939546459408e-07  1  2.1481046556588235e-05
164  aam  1  1.0427818639378223e-06  0  7.160348852196079e-06
165  aamaaabiaegaaaaaaw  0  3.475939546459408e-07  1  2.1481046556588235e-05
166  aamba  0  3.475939546459408e-07  1  2.1481046556588235e-05
167  aammbnnoojjihhwwrcekddggyypz  0  3.475939546459408e-07  1  2.1481046556588235e-05
168  aamwify  0  3.475939546459408e-07  1  2.1481046556588235e-05
169  aamy  0  3.475939546459408e-07  1  2.1481046556588235e-05
170  aan  0  3.475939546459408e-07  1  2.1481046556588235e-05
171  aandatruckservices  0  3.475939546459408e-07  1  2.1481046556588235e-05
172  aanl  0  3.475939546459408e-07  1  2.1481046556588235e-05
173  aanzpeyamamhwugq  0  3.475939546459408e-07  1  2.1481046556588235e-05
174  aaocgkctbfobvzsadr  0  3.475939546459408e-07  1  2.1481046556588235e-05
175  aaok  0  3.475939546459408e-07  1  2.1481046556588235e-05
176  aap  0  3.475939546459408e-07  1  2.1481046556588235e-05
177  aapa  0  3.475939546459408e-07  1  2.1481046556588235e-05
178  aapl  1  1.0427818639378223e-06  0  7.160348852196079e-06
179  aaqjaa  1  1.0427818639378223e-06  0  7.160348852196079e-06
180  aaqnf  0  3.475939546459408e-07  1  2.1481046556588235e-05
181  aaqskzj  0  3.475939546459408e-07  1  2.1481046556588235e-05
182  aaqskzjrgabaaeasabiaad  0  3.475939546459408e-07  1  2.1481046556588235e-05
183  aaqskzjrgabagaazabkaad  0  3.475939546459408e-07  1  2.1481046556588235e-05
184  aaqskzjrgabageasabiaad  0  3.475939546459408e-07  1  2.1481046556588235e-05
185  aaqskzjrgabageazabkaad  0  3.475939546459408e-07  1  2.1481046556588235e-05
186  aaqskzjrgabageblaesaad  0  3.475939546459408e-07  1  2.1481046556588235e-05
187  aaqskzjrgabaqeasabiaad  0  3.475939546459408e-07  1  2.1481046556588235e-05
188  aaqskzjrgabaqeayabgaad  1  1.0427818639378223e-06  0  7.160348852196079e-06
189  aaqskzjrgabaqeayadiaad  0  3.475939546459408e-07  1  2.1481046556588235e-05
190  aaqzghnbbpvcymgdqn  0  3.475939546459408e-07  1  2.1481046556588235e-05
191  aardvark  1  1.0427818639378223e-06  0  7.160348852196079e-06
192  aaron  0  3.475939546459408e-07  1  2.1481046556588235e-05
193  aarp  1  1.0427818639378223e-06  0  7.160348852196079e-06
194  aarrhvja  0  3.475939546459408e-07  1  2.1481046556588235e-05
195  aartis  0  3.475939546459408e-07  1  2.1481046556588235e-05
196  aas  2  1.737969773229704e-06  0  7.160348852196079e-06
197  aashtyyhscwxj  0  3.475939546459408e-07  1  2.1481046556588235e-05
198  aashww  0  3.475939546459408e-07  1  2.1481046556588235e-05
199  aastavast  0  3.475939546459408e-07  1  2.1481046556588235e-05
200  aasvtobi  0  3.475939546459408e-07  1  2.1481046556588235e-05
201  aatl  0  3.475939546459408e-07  1  2.1481046556588235e-05
202  aaustin  0  3.475939546459408e-07  1  2.1481046556588235e-05
203  aav  0  3.475939546459408e-07  1  2.1481046556588235e-05
204  aavcwavmyaz  0  3.475939546459408e-07  1  2.1481046556588235e-05
205  aawihv  0  3.475939546459408e-07  1  2.1481046556588235e-05
206  aax  1  1.0427818639378223e-06  0  7.160348852196079e-06
207  aay  0  3.475939546459408e-07  1  2.1481046556588235e-05
208  aayaaaaaaaeamgaaaaeawgaaaayaaaaaaaeanqaaaaealqaaaayaaaaaaae  0  3.475939546459408e-07  1  2.1481046556588235e-05
209  aaycc  0  3.475939546459408e-07  1  2.1481046556588235e-05
210  aayeyyju  0  3.475939546459408e-07  1  2.1481046556588235e-05
211  aayjwf  0  3.475939546459408e-07  1  2.1481046556588235e-05
212  aaz  1  1.0427818639378223e-06  0  7.160348852196079e-06
213  aazesqbzzhobzkdvytnmrk  0  3.475939546459408e-07  1  2.1481046556588235e-05
214  aazxini  0  3.475939546459408e-07  1  2.1481046556588235e-05
215  ab  59  4.1363680602866956e-05  0  7.160348852196079e-06
216  aba  0  3.475939546459408e-07  1  2.1481046556588235e-05
217  abaaaaabaaacqaaaakaaaaaaoejjtqqedvvstcbvdmvycmlkzxmaaaaeaaaaadhcsu  0  3.475939546459408e-07  1  2.1481046556588235e-05
218  abaae  0  3.475939546459408e-07  1  2.1481046556588235e-05
219  abaaf  0  3.475939546459408e-07  1  2.1481046556588235e-05
220  abaah  0  3.475939546459408e-07  1  2.1481046556588235e-05
221  ababa  1  1.0427818639378223e-06  0  7.160348852196079e-06
222  abababababababababababababababababababababababababababababa  0  3.475939546459408e-07  1  2.1481046556588235e-05
223  ababababababababababababababababababababababababababababababababababababahpw  0  3.475939546459408e-07  1  2.1481046556588235e-05
224  abacha  0  3.475939546459408e-07  1  2.1481046556588235e-05
225  abae  1  1.0427818639378223e-06  0  7.160348852196079e-06
226  abaf  0  3.475939546459408e-07  1  2.1481046556588235e-05
227  abah  0  3.475939546459408e-07  1  2.1481046556588235e-05
228  abailey  0  3.475939546459408e-07  1  2.1481046556588235e-05
229  aban  0  3.475939546459408e-07  1  2.1481046556588235e-05
230  abandon  0  3.475939546459408e-07  1  2.1481046556588235e-05
231  abandoned  3  2.4331576825215854e-06  0  7.160348852196079e-06
232  abarb  0  3.475939546459408e-07  1  2.1481046556588235e-05
233  abastecimientos  0  3.475939546459408e-07  1  2.1481046556588235e-05
234  abatement  0  3.475939546459408e-07  1  2.1481046556588235e-05
235  abb  2  1.737969773229704e-06  0  7.160348852196079e-06
236  abbc  0  3.475939546459408e-07  1  2.1481046556588235e-05
237  abbec  1  1.0427818639378223e-06  0  7.160348852196079e-06
238  abbey  0  3.475939546459408e-07  1  2.1481046556588235e-05
239  abbeypaige  0  3.475939546459408e-07  1  2.1481046556588235e-05
240  abbf  0  3.475939546459408e-07  1  2.1481046556588235e-05
241  abbkbgig  0  3.475939546459408e-07  1  2.1481046556588235e-05
242  abbp  0  3.475939546459408e-07  1  2.1481046556588235e-05
243  abby  0  3.475939546459408e-07  1  2.1481046556588235e-05
244  abbyman  0  3.475939546459408e-07  1  2.1481046556588235e-05
245  abbztmgf  1  1.0427818639378223e-06  0  7.160348852196079e-06
246  abc  1  1.0427818639378223e-06  0  7.160348852196079e-06
247  abcadc  0  3.475939546459408e-07  1  2.1481046556588235e-05
248  abcd  0  3.475939546459408e-07  1  2.1481046556588235e-05
249  abcn  1  1.0427818639378223e-06  0  7.160348852196079e-06
250  abcqojps  1  1.0427818639378223e-06  0  7.160348852196079e-06
251  abcrce  0  3.475939546459408e-07  1  2.1481046556588235e-05
252  abcwijs  0  3.475939546459408e-07  1  2.1481046556588235e-05
253  abd  2  1.737969773229704e-06  0  7.160348852196079e-06
254  abda  1  1.0427818639378223e-06  0  7.160348852196079e-06
255  abdce  1  1.0427818639378223e-06  0  7.160348852196079e-06
256  abdq  0  3.475939546459408e-07  1  2.1481046556588235e-05
257  abducted  3  2.4331576825215854e-06  0  7.160348852196079e-06
258  abductee  1  1.0427818639378223e-06  0  7.160348852196079e-06
259  abductees  2  1.737969773229704e-06  0  7.160348852196079e-06
260  abduction  2  1.737969773229704e-06  0  7.160348852196079e-06
261  abdul  1  1.0427818639378223e-06  0  7.160348852196079e-06
262  abdullah  3  2.4331576825215854e-06  0  7.160348852196079e-06
263  abe  0  3.475939546459408e-07  1  2.1481046556588235e-05
264  abehli  0  3.475939546459408e-07  1  2.1481046556588235e-05
265  abel  0  3.475939546459408e-07  1  2.1481046556588235e-05
266  aberger  0  3.475939546459408e-07  1  2.1481046556588235e-05
267  abf  0  3.475939546459408e-07  1  2.1481046556588235e-05
268  abfdbe  1  1.0427818639378223e-06  0  7.160348852196079e-06
269  abfp  1  1.0427818639378223e-06  0  7.160348852196079e-06
270  abfvefrbibzn  0  3.475939546459408e-07  1  2.1481046556588235e-05
271  abg  0  3.475939546459408e-07  1  2.1481046556588235e-05
272  abgaaf  0  3.475939546459408e-07  1  2.1481046556588235e-05
273  abgon  0  3.475939546459408e-07  1  2.1481046556588235e-05
274  abguui  0  3.475939546459408e-07  1  2.1481046556588235e-05
275  abgux  0  3.475939546459408e-07  1  2.1481046556588235e-05
276  abh  0  3.475939546459408e-07  1  2.1481046556588235e-05
277  abhlb  1  1.0427818639378223e-06  0  7.160348852196079e-06
278  abhmoqc  0  3.475939546459408e-07  1  2.1481046556588235e-05
279  abhzlyezalbx  0  3.475939546459408e-07  1  2.1481046556588235e-05
280  abide  1  1.0427818639378223e-06  0  7.160348852196079e-06
281  abidjan  0  3.475939546459408e-07  1  2.1481046556588235e-05
282  abidkazi  0  3.475939546459408e-07  1  2.1481046556588235e-05
283  abili  0  3.475939546459408e-07  1  2.1481046556588235e-05
284  abilities  1  1.0427818639378223e-06  0  7.160348852196079e-06
285  ability  16  1.1470600503316046e-05  0  7.160348852196079e-06
286  abilitys  0  3.475939546459408e-07  1  2.1481046556588235e-05
287  abiola  0  3.475939546459408e-07  1  2.1481046556588235e-05
288  abit  0  3.475939546459408e-07  1  2.1481046556588235e-05
289  abiword  1  1.0427818639378223e-06  0  7.160348852196079e-06
290  abj  0  3.475939546459408e-07  1  2.1481046556588235e-05
291  abject  6  4.5187214103972305e-06  0  7.160348852196079e-06
292  abk  0  3.475939546459408e-07  1  2.1481046556588235e-05
293  abkn  0  3.475939546459408e-07  1  2.1481046556588235e-05
294  abkromqfclgiqdtgfezgbbz  0  3.475939546459408e-07  1  2.1481046556588235e-05
295  abl  0  3.475939546459408e-07  1  2.1481046556588235e-05
296  able  95  6.639044533737469e-05  0  7.160348852196079e-06
297  ablesing  0  3.475939546459408e-07  1  2.1481046556588235e-05
298  ablumhxbpqc  0  3.475939546459408e-07  1  2.1481046556588235e-05
299  ably  0  3.475939546459408e-07  1  2.1481046556588235e-05
300  abmk  0  3.475939546459408e-07  1  2.1481046556588235e-05
301  abmwqpigjoqczwdu  0  3.475939546459408e-07  1  2.1481046556588235e-05
302  abmzdhviomlyx  0  3.475939546459408e-07  1  2.1481046556588235e-05
303  abnbvaw  0  3.475939546459408e-07  1  2.1481046556588235e-05
304  abnegate  0  3.475939546459408e-07  1  2.1481046556588235e-05
305  abnormal  0  3.475939546459408e-07  1  2.1481046556588235e-05
306  abnormality  0  3.475939546459408e-07  1  2.1481046556588235e-05
307  abnormally  2  1.737969773229704e-06  0  7.160348852196079e-06
308  abns  1  1.0427818639378223e-06  0  7.160348852196079e-06
309  abnutzzpkumdtycwdb  0  3.475939546459408e-07  1  2.1481046556588235e-05
310  abo  0  3.475939546459408e-07  1  2.1481046556588235e-05
311  aboard  0  3.475939546459408e-07  1  2.1481046556588235e-05
312  abocilqgsmyx  0  3.475939546459408e-07  1  2.1481046556588235e-05
313  abode  2  1.737969773229704e-06  0  7.160348852196079e-06
314  aboetius  2  1.737969773229704e-06  0  7.160348852196079e-06
315  aboggs  0  3.475939546459408e-07  1  2.1481046556588235e-05
316  aboinanx  0  3.475939546459408e-07  1  2.1481046556588235e-05
317  aboli  1  1.0427818639378223e-06  0  7.160348852196079e-06
318  abolish  0  3.475939546459408e-07  1  2.1481046556588235e-05
319  abolished  1  1.0427818639378223e-06  0  7.160348852196079e-06
320  abominations  1  1.0427818639378223e-06  0  7.160348852196079e-06
321  aborigines  1  1.0427818639378223e-06  0  7.160348852196079e-06
322  aborted  1  1.0427818639378223e-06  0  7.160348852196079e-06
323  aborting  3  2.4331576825215854e-06  0  7.160348852196079e-06
324  abortion  2  1.737969773229704e-06  0  7.160348852196079e-06
325  abou  0  3.475939546459408e-07  1  2.1481046556588235e-05
326  abound  1  1.0427818639378223e-06  0  7.160348852196079e-06
327  about  552  0.0003840913198837646  0  7.160348852196079e-06
328  above  68  4.7620371786493886e-05  0  7.160348852196079e-06
329  abpmeamaw  0  3.475939546459408e-07  1  2.1481046556588235e-05
330  abpsjicpeuwapyukfrkjktecqyrb  0  3.475939546459408e-07  1  2.1481046556588235e-05
331  abpsp  0  3.475939546459408e-07  1  2.1481046556588235e-05
332  abpx  0  3.475939546459408e-07  1  2.1481046556588235e-05
333  abq  0  3.475939546459408e-07  1  2.1481046556588235e-05
334  abqewvbgf  0  3.475939546459408e-07  1  2.1481046556588235e-05
335  abqhbmyjpsd  0  3.475939546459408e-07  1  2.1481046556588235e-05
336  abqraqaaaaaaaaaaaaaaaaaaaed  0  3.475939546459408e-07  1  2.1481046556588235e-05
337  abqzk  0  3.475939546459408e-07  1  2.1481046556588235e-05
338  abra  0  3.475939546459408e-07  1  2.1481046556588235e-05
339  abraham  1  1.0427818639378223e-06  0  7.160348852196079e-06
340  abridging  0  3.475939546459408e-07  1  2.1481046556588235e-05
341  abrna  0  3.475939546459408e-07  1  2.1481046556588235e-05
342  abroad  2  1.737969773229704e-06  0  7.160348852196079e-06
343  abrown  0  3.475939546459408e-07  1  2.1481046556588235e-05
344  abrtlegv  0  3.475939546459408e-07  1  2.1481046556588235e-05
345  abruka  0  3.475939546459408e-07  1  2.1481046556588235e-05
346  abruptly  1  1.0427818639378223e-06  0  7.160348852196079e-06
347  abs  1  1.0427818639378223e-06  0  7.160348852196079e-06
348  absa  0  3.475939546459408e-07  1  2.1481046556588235e-05
349  absanni  0  3.475939546459408e-07  1  2.1481046556588235e-05
350  absbottom  1  1.0427818639378223e-06  0  7.160348852196079e-06
351  absence  5  3.823533501105349e-06  0  7.160348852196079e-06
352  absent  1  1.0427818639378223e-06  0  7.160348852196079e-06
